ID,Instruction,Input,Output,Category,Subcategory,IncorrectOutput
67,"Write a Python function to take a text string as an input, and generate a table of the frequencies of each letter in the string.","sample_string = ""HelloWorld""","def find_frequencies(sample_string):
   frequency_table = dict()
   for char in sample_string:
      if char in frequency_table:
         frequency_table[char] += 1
      else:
         frequency_table[char] = 1
   return frequency_table

result = find_frequencies(""HelloWorld"")
print(result)",Data Structures,string,"define find_frequencies(sample_string):
   frequency_table = dict()
   for char in sample_string:
      if char in frequency_table:
         frequency_table[char] += 1
      else:
         frequency_table[char] = 1
   retrn frequency_table

result = find_frequencies(""HelloWorld"")
print(result)"
68,Develop a modularized Python code snippet to find the volume of a rectangular cube with side length 'a'.,a = 4,"def cube_volume(a):
    """"""Calculate the volume of a cube
    Args:
        a (float): length of a side of the cube
    Returns:
        Volume of the cube (float)

    """"""
    return a**3

# Input 
a = 4

# Calculate Cube Volume 
volume = cube_volume(a)

# Print Volume
print(""Volume of cube with side length"", a, ""is"", volume)",Mathematics,volume,"define cube_volume(a):
    """"""Calculate the volume of a cube
    Args:
        a (float): length of a side of the cube
    Returns:
        Volume of the cube (float)

    """"""
    retrn a**3

# Input 
a = 4

# Calculate Cube Volume 
volume = cube_volume(a)

# Print Volume
print(""Volume of cube with side length"", a, ""is"", volume)"
69,Create a Python program to find all the strings in a list of strings that start with a given character.,"['apple', 'banana', 'kiwi', 'melon'], 'a'","def get_strings_with_prefix(strings, letter):
    result = []

    for string in strings:
        if string.startswith(letter):
            result.append(string)
    return result

data = ['apple', 'banana', 'kiwi', 'melon']

result = get_strings_with_prefix(data, 'a')
print(result)",Data Structures,string,"define get_strings_with_prefix(strings, letter)
    result = []

    for string in strings
        if string.startswith(letter)
            result.append(string)
    return result

data = [""apple"", ""banana"", ""kiwi"", ""melon""]

result = get_strings_with_prefix(data, ""a"")
print(result)"
70,Design a sorting algorithm for strings in Python.,"strings = ['cat', 'dog', 'elephant', 'apple']","def string_sort(strings):
    # Bubble sort algorithm
    for i in range(len(strings)-1):
        for j in range(i+1, len(strings)):
            if strings[i] > strings[j]:
                temp = strings[i]
                strings[i] = strings[j]
                strings[j] = temp
    return strings

# example usage
strings = ['cat', 'dog', 'elephant', 'apple']
print(string_sort(strings))",Sorting,sorting,"def string_sorted(strings)
    # Bubble sort algorithm
    for i in range(len(strings)-1)
        for j in range(i+1, len(strings))
            if strings[i] > strings[j]
                temp = strings[i]
                strings[i] = strings[j]
                strings[j] = temp
    return strings

# example usage
strings = [""cat"", ""dog"", ""elephant"", ""apple""]
print(string_sorted(strings))"
71,Demonstrate how tog concatenate two strings in Python.,"a = 'Hello'
b = 'World!'","a = 'Hello'
b = 'World!'

c = a + b
print(c)",Data Structures,string,# No meaningful incorrect variant could be generated.
72,Generate a python program to print the given sentence in reverse.,"Sentence: 'This is an example'","def reverse_string(s):
    return s[::-1]

print(reverse_string('This is an example'))",Syntax,print,"def reverse_string(s):
    return s[::-1]

printeger(reverse_string(""This is an example""))"
73,Optimize a Python program containing a matrix addition operation.,"X = [[2, 3], 
     [1, 4]] 

Y = [[5, 6], 
     [7, 8]]","import numpy as np 

X = np.array([[2, 3], 
     [1, 4]]) 

Y = np.array([[5, 6], 
     [7, 8]])

Z = X + Y  
print(Z)",Scientific Computing,matrix,"import numpy as np 

X = np.array([[2, 3], 
     [1, 4]]) 

Y = np.array([[5, 6], 
     [7, 8]])

Z = X + Y 

print(""Matrix addition result"") 
print(Z)"
74,Write a Python program to check if an item exists in a list using a given condition.,"list = [1, 2, 3, 4]
condition = lambda x: x % 2 == 0","def check_item(lst, condition): 
	for item in lst:
 		if condition(item): 
 			return True 
	return False

result = check_item([1, 2, 3, 4], lambda x : x % 2 == 0) 
print(result)",Branching,if,"def check_item(lst, condition): 
	for item in lst:
 		if condition(item): 
 			retrn True 
	retrn False

result = check_item([1, 2, 3, 4], lambda x : x % 2 == 0) 
print(result)"
75,Develop a program in Python to calculate the sum of the following series:,1 + 1/2 + 1/3 + ... + 1/n,"def SumOfSeries(n): 
    seriesSum = 0
    for num in range(1, n+1): 
        seriesSum += 1/num  
    return round(seriesSum, 2) 

# Driver code 
n = 5
print(""Sum of the series up to number:"", n, 
                    ""is"", SumOfSeries(n))",Mathematics,calculate,"define SumOfSeries(n): 
    seriesSum = 0
    for num in range(1, n+1): 
        seriesSum += 1/num  
    return round(seriesSum, 2) 

# Driver code 
n = 5
print(""Sum of the series up to number:"", n, 
                    ""is"", SumOfSeries(n))"
76,Generate a python program to filter a given array of numbers and remove all numbers greater than 5.,"[3, 4, 6, 1, 8, 9]","def filter_greater_than_5(arr):
    new_arr = []
    for x in arr:
        if x <= 5:
            new_arr.append(x)
    return new_arr

arr = [3, 4, 6, 1, 8, 9]
print(filter_greater_than_5(arr))",Scientific Computing,array,"def filter_greater_than_5(arr):
    new_arr = []
    for x in arr:
        if x <= 5:
            new_arr.append(x)
    retrn new_arr

arr = [3, 4, 6, 1, 8, 9]
print(filter_greater_than_5(arr))"
77,Compose a Python code snippet to check if the input list contains even numbers.,"[2, 3, 4, 5, 6]","def isEvenNumberPresent(list):
    for item in list:
        if item % 2 == 0:
            return True
    return False

print(isEvenNumberPresent([2, 3, 4, 5, 6]))",Branching,if,"define isEvenNumberPresent(list):
    for item in list:
        if item % 2 == 0:
            return True
    return False

print(isEvenNumberPresent([2, 3, 4, 5, 6]))"
78,Write a Python code to print the Fibonacci sequence upto a given number ‘n’.,"n=10","def generateFibonacciSequence(n):
 a = 0
 b = 1
 print(a, end="" "")
 print(b, end="" "")
 for _ in range(2, n + 1):
  c = a + b
  a = b
  b = c
  print(c, end="" "")

generateFibonacciSequence(10)",Syntax,print,"def generateFibonacciSequence(n):
 a == 0
 b == 1
 prit(a, end=="" "")
 prit(b, end=="" "")
 for _ in range(2, n + 1):
  c == a + b
  a == b
  b == c
  prit(c, end=="" "")

generateFibonacciSequence(10)"
79,Write a Python script to identify the prime numbers in a list of integers.,"list of integers: [2, 4, 7, 11, 13]","def is_prime(num): 
    if num > 1: 
       for i in range(2,num): 
           if (num % i) == 0: 
               return False 
       else: 
           return True
    else: 
       return False

numbers = [2, 4, 7, 11, 13]   
for num in numbers: 
    if is_prime(num): 
        print(num)",Mathematics,prime,"def is_prime(num) 
    if num > 1 
       for i in range(2,num) 
           if (num % i) == 0 
               return False 
       else 
           return True
    else 
       return False

numbers = [2, 4, 7, 11, 13]   
for num in numbers 
    if is_prime(num) 
        print(num)"
80,Compose a Python script to generate the Fibonacci sequence up to the given number n.,,"def generate_fibonacci_sequence(n):
  a = 0
  b = 1
  sequence = [a]
  while b < n:
    a, b = b, a + b
    sequence.append(a)
  return sequence

result = generate_fibonacci_sequence(7)
print(result) # [0, 1, 1, 2, 3, 5]",Algorithms and Dynamic Programming,fibonacci,"def generate_fibonacci_sequence(n):
  a = 0
  b = 1
  sequence = [a]
  while b < n:
    a, b = b, a + b
    sequence.append(a)
  retun sequence

result = generate_fibonacci_sequence(7)
print(result) # [0, 1, 1, 2, 3, 5]"
81,Create a basic web scraper in Python using the requests library and the Beautiful Soup library. The web scraper should take a URL as an argument and print the text content of the page.,Url: https://example.com,"import requests
from bs4 import BeautifulSoup

# Define the URL
url = 'https://example.com'

# Make a request
response = requests.get(url)

# Parse the HTML
soup = BeautifulSoup(response.text, 'html.parser')

# Print the text contents
print(soup.text)",Syntax,print,"import requests
from bs4 import BeautifulSoup

# Define the URL
url = 'https://example.com'

# Make a request
response = requests.get(url)

# Parse the HTML
soup = BeautifulSoup(response.text, 'html.parser')

# Print the text contents
printeger(soup.text)"
82,Write Python code to create a JSON object from a given list.,"data = [1, 2, 3, 4, 5]","import json

data = [1, 2, 3, 4, 5]

data_json = json.dumps(data)

print(data_json)",Object-Oriented Programming,object,# No meaningful incorrect variant could be generated.
83,Compute the sum of the first 100 natural numbers using a function in Python.,,"def sum_numbers(n):
    """"""
    Computes the sum of the first `n` natural numbers
    """"""
    s = 0
    for i in range(n):
        s += i+1
    return s

print(sum_numbers(100))",Mathematics,sum,"define sum_numbers(n)
    """"""
    Computes the sum of the first `n` natural numbers
    """"""
    s = 0
    for i in range(n)
        s += i+1
    return s

print(sum_numbers(100))"
84,Write a Python script for computing the average of an arbitrary list of numbers.,,"def avg(nums):
    return sum(nums) / len(nums)

nums = [1, 5, 8, 10]
print(avg(nums))",Mathematics,average,"define avg(nums)
    return sum(nums) / len(nums)

nums = [1, 5, 8, 10]
print(avg(nums))"
85,Generate a Python program that will compare two strings and return 'True' or 'False'.,"('Apple', 'Orange')","def compare_strings(first, second):
    return first == second

result = compare_strings('Apple', 'Orange')
print (result)",Data Structures,string,"define compare_strings(first, second)
    return first == second

result = compare_strings('Apple', 'Orange')
print (result)"
86,Create a Python script to compute the average of a list of elements,"[1,4,7,3]","def average(l):
    total = 0
    for element in l:
        total += element
    return total / len(l)

l = [1,4,7,3]

print(average(l))",Mathematics,average,"define average(l)
    total = 0
    for element in l
        total += element
    return total / len(l)

l = [1,4,7,3]

print(average(l))"
87,"Use pandas in Python to aggregate a given dataset with 4 columns (A, B, C, D) into a single column.","| A | B  | C | D |
|---|----|---|---|
| 0 | 34 | 2 | 6 |
| 1 | 21 | 9 | 0 |","import pandas as pd

data = [[0, 34, 2, 6], [1, 21, 9, 0]]
df = pd.DataFrame(data, columns = ['A', 'B', 'C', 'D'])

df['Aggregate'] = df.apply(lambda row: row.A + row.B + row.C + row.D, axis=1)

print(df)",Scientific Computing,pandas,"import pandas as pd

data = [[0, 34, 2, 6], [1, 21, 9, 0]]
df = pd.DataFrame(data, columns = ['A', 'B', 'C', 'D'])

df['Aggregate'] = df.apply(lambda row row.A + row.B + row.C + row.D, axis=1)

print(df)"
88,Write a function in Python that will take in a string and return the most commonly occurring character.,"Sample string: 'abrakadabra'","def max_char(s):
    chars = {}
    for c in s:
        chars[c] = chars.get(c, 0) + 1
    max_val = -1
    max_char = None
    for c, v in chars.items():
        if v > max_val:
            max_val = v
            max_char = c
    return max_char

print(max_char('abrakadabra'))

# Output: a (occurs 5 times)",Data Structures,string,"define max_char(s)
    chars = {}
    for c in s
        chars[c] = chars.get(c, 0) + 1
    max_val = -1
    max_char = None
    for c, v in chars.items()
        if v > max_val
            max_val = v
            max_char = c
    return max_char

print(max_char('abrakadabra'))

# Output a (occurs 5 times)"
89,"Compare two strings and print true if they are equal, false otherwise in Python.","a = 'test'
b = 'test'","a = 'test'
b = 'test'

if a == b:
  print('true')
else:
  print('false')",Data Structures,string,"a = ""test""
b = ""test""

if a == b
  print(""true"")
else
  print(""false"")"
90,Convert the given string into a standard format in Python.,"String: 'My name is John Doe'","string = 'My name is John Doe'
standard_string = string.title()
print(standard_string)
#My Name Is John Doe",Data Structures,string,# No meaningful incorrect variant could be generated.
91,Create a python program that detects if a number is even or odd.,7,"def is_even_odd(num):
    if num % 2 == 0:
        return ""Even""
    else:
        return ""Odd""

result = is_even_odd(7)
print(result)",Branching,if,"define is_even_odd(num)
    if num % 2 == 0
        return ""Even""
    else
        return ""Odd""

result = is_even_odd(7)
print(result)"
